金针菜	黄花菜
金花菜	黄花苜蓿
叶甜菜	牛皮菜
银条菜	银根菜
香椿	香椿头
萝卜	莱菔
胡萝卜	红萝卜
芜菁	蔓菁
茭白	菰
莴苣	莴笋
芦笋	石刁柏
辣椒	辣子
番茄	西红柿
南瓜	番瓜
黄瓜	胡瓜
菜瓜	越瓜
豆	豆子
大豆	毛豆
蚕豆	胡豆
赤豆	赤小豆
红豆	相思子
豆荚	豆角儿
菜豆	芸豆
芋	芋艿
薯	芋
甘薯	番薯
马铃薯	土豆
豆薯	地瓜
菊芋	洋姜
慈姑	茨菰
藕	莲菜
大棚菜	棚菜
水果	果品
瓜果	瓜
柚	柚子
橘	橘子
柑	柑子
橙	橙子
荔枝	丹荔
石榴	榴
樱桃	樱
橄榄	青果
橄榄	洋橄榄
枣子	枣
黑枣	软枣
苹果	苹
梨	梨子
草莓	草果
菠萝蜜	凤梨
椰	椰子
杏	杏子
李	李子
猕猴桃	羊桃
五敛子	羊桃
番木瓜	木瓜
葡萄	葡
核桃	胡桃
山核桃	小胡桃
榧	香榧
桃	桃子
蟠桃	扁桃
椰枣	海枣
桂圆	龙眼
柿	柿子
香蕉	甘蕉
花红	沙果
草果	草豆蔻
肉豆蔻	肉果
银杏	白果
香橼	枸橼
榛	榛子
杜梨	棠梨
栗子	栗
甜瓜	香瓜
甜枣	蜜枣
药草	药材
川芎	当归
萝芙木	蛇根草
大蓟	蓟
龙牙草	仙鹤草
木豆	豆蓉
乌梅	酸梅
南天竹	天竹
贝母	川贝
肉苁蓉	苁蓉
苁蓉	列当
生地	生地黄
熟地	熟地黄
麦门冬	麦冬
蒺藜	茨
人参	参
酒花	啤酒花
鱼腥草	蕺
忍冬	金银花
马齿苋	长寿菜
川军	大黄
芸香	芸
高根	古柯
钩吻	野葛
茱萸	山茱萸
肉桂	桂
枸杞	枸杞子
经济作物	技术作物
落花生	花生
油菜	菜
芝麻	麻
向日葵	葵花
蓖麻	大麻子
油瓜	油渣果
油棕	油椰子
白苏	荏
油桐	桐油树
桉树	桉
大茴香	八角茴香
桂皮	桂
甘蔗	蔗
甜菜	糖萝卜
海枣	枣椰
蓼蓝	蓝
茜草	茜
红花草	紫云英
苜蓿	紫花苜蓿
稗子	稗
茶	茶树
棉花	棉
木棉	红棉
桑	桑树
麻	蕉
大麻	线麻
种麻	苴麻
苘麻	青麻
罗布麻	茶叶花
马尼拉麻	蕉麻
芨芨草	枳机草
白藤	红藤
狼尾草	草
芦苇	苇
马兰	马蔺
龙须草	蓑衣草
国产棉	国棉
上棉	优质棉
白色棉	白棉
彩棉	彩色棉
植株	株
病株	劣株
茎	本
秆	秆子
藤	藤子
树干	树身
花茎	画轴
蒜薹	蒜苗
茬	蔸
麦茬	麦秸
枝	枝子
枝桠	枝杈
蘖	蘖枝
疯枝	疯杈
树梢	杪
柳丝	柳枝
根	根子
树根	柢
叶	叶子
枫叶	红叶
花朵	朵儿
花蕾	蕾
筒状花	管状花
花瓣	瓣
花萼	萼片
花蕊	蕊
花苞	苞
花茎	画轴
芽	胚芽
侧芽	腋芽
叶芽	叶芽儿
苗	秧
母株	母本
柄	把
果实	果子
梅子	青梅
桑果	桑葚
菱角	菱
荸荠	地梨
果皮	中果皮
核	内果皮
瓤	瓤子
种子	子实
仁	种仁
松仁	松子
花生米	花生仁
莲子	莲蓬子儿
油菜子	菜子
芡实	鸡头米
草籽	草种
葵花子	葵花仁
牲畜	畜
役畜	力畜
牲口	饩
子畜	幼畜
牺牲	牲
野兽	兽
猛兽	貔貅
狼獾	貂熊
海熊	腽肭兽
熊猫	猫熊
小熊猫	小猫熊
犀	犀牛
獾	狗獾
猪獾	沙獾
箭猪	豪猪
刺猬	猬
貉	貉子
豹猫	山猫
河狸	海狸鼠
紫貂	黑貂
黄鼠狼	黄鼬
猞猁	林
穿山甲	鲮鲤
蝙蝠	蝠
狮	狮子
虎	老虎
幼虎	乳虎
豹	豹子
象	大象
猛犸	毛象
狗熊	黑熊
马熊	棕熊
白熊	北极熊
狼	狼群
狐	狐狸
赤狐	火狐
玄狐	银狐
白狐	北极狐
草狐	花面狸
猩猩	猩
猴子	猴
鹿	麈
麋	四不象
狍子	狍
马鹿	水鹿
麂	麂子
獐	獐子
骆驼	驼
马	马匹
儿马	驹
母马	骒马
骏马	高足
驽马	劣马
骢	骓
马驹子	驹子
驴	驴子
公驴	叫驴
骡子	骡
牛	牛群
公牛	牯牛
母牛	牛
奶牛	乳牛
耕牛	犁牛
小牛	犊
羚羊	扭角羚
羊	羊群
公羊	羝
羊羔	羔羊
头羊	带头羊
羚羊	羚
石羊	岩羊
猪	猪猡
毛猪	生猪
猪仔	豚
狗	犬
猎狗	猎犬
哈巴狗	巴儿狗
兔	兔子
野兔	野猫
鼠	老鼠
小家鼠	鼷鼠
褐家鼠	大家鼠
豚鼠	天竺鼠
鼹鼠	鼹
黄鼠	大眼贼
松鼠	灰鼠
鳄鱼	鳄
扬子鳄	猪婆龙
鲸鱼	鲸
海豚	海猪
江豚	江猪
人鱼	儒艮
蛇	长虫
蟒蛇	蟒
五步蛇	白花蛇
水蛇	青蛇
蛙	青蛙
蟾蜍	癞蛤蟆
蜥蜴	四脚蛇
獭	水獭
海獭	海龙
禽兽	鸟兽
禽	鸟
猛禽	鸷鸟
隼	鹘
练鹊	绶带鸟
鹌鹑	鹑
猫头鹰	夜猫子
鸵鸟	鸵
大鸨	鸨
鹭	鹭鸶
鹗	鱼鹰
鸿雁	鸿
雉	野鸡
吐绶鸡	火鸡
野鸭	绿头鸭
